EZE#-34.8150044#-58.5348284 	// Buenos Aires
BOG#4.7014181#-74.146691 		// Bogota
MIA#25.795865#-80.2870457 		// Miami
JFK#-34.4377197#-58.6333196 	// Nueva York
DFW#32.8998136#-97.0425293  	// Dallas
YVR#49.1966948,-123.1837063  	// Vancouver
LHR#51.4700223#-0.4542955 		// Londres
MAD#40.4923357#-3.5938594 		// Madrid
CAI#30.1123678#31.3980952 		// El cairo
JNB#-26.1366728#28.2411459		// Johanesburgo 
MOW#55.9736482#37.412503 		// Moscu
DXB#25.2531745#55.3656728 		// Dubai
DEL#28.5561671#77.0977637 		// Delhi
PEK#40.0798614#116.600918 		// Pekin
NRT#35.7719867#140.3928501 		// Tokio
AKL#-37.0082433#-157.9250736 	// Auckland
ITO#21.3245132#-157.9250736 	// Hawaii

